HelpfulnessNumerator,HelpfulnessDenominator,Score,Summary,Text
0,0,5,Great Healthy Staple for your family,"We add tablespoons of this fragrant oil to our morning smoothies. You can saute and fry with this oil, but it is very fragrant, so be careful of what you use it on.  If you are looking for a non fragrant oil, try Tropical Traditions, it is the very best.  I also use the oil as a moisturizer, and to wash my face.  We put some in our pets food, and I have used it to treat ear mites in our cats. I order using subscribe and save, and it is very economical."
1,1,2,disappointing,"I had high hopes for this mix but ended up being not too happy with it. The sunflower seeds had a bitter flavor that could have been offset by more dried fruit, but there wasn't enough fruit to counterbalance it. Tasted fresh and was a pretty good afternoon snack, but I wish the flavor had been better."
0,0,5,coffee,the coffee is shipped in 4 boxes each pod is wrapped for freshness the cup of coffee tastes real good I do not add sugar or cream so I know its a good cup of coffee
12,13,5,"Delicious, aromatic coffee","I LOVE this delicious coffee.  It is full-bodied but not bitter or acidic, plus it is wonderfully aromatic.  It's become one of my three favorites k-cups (along with Timothy's Italian Blend and, for those decaf evenings, Gloria Jean's Special Blend Decaf)."
1,1,4,"Efagold Organic coconut oil, 32 ounce jar - good stuff","I don't know what effects I will experience, however, it tastes good.  It arrived promptly, and I received two 32 ounce jars.  I add it  to my coffee each morning, and it gives the coffee a very nice rich flavor.  I use it on my arms, my legs, my feet.  It makes my skin soft, and in particular, my feet feels less dry even after just one application.  I think it is better then the moisturing lotions you find in the stores.  Amazing, that you can eat this stuff and use it for skincare too."
0,0,5,Tasty and Good for Weight Watchers!,"OK - this is not the finest European chocolate.  BUT, you can make it in your Keurig and all 3 flavors taste good.  I've joined the ""club"" and get the lowest possible cost.  No charge to join and no effort to quit.  Why not?  It's nice to have when you're dieting, because it's just enough chocolate to keep you on track.  Non-dieters will like it for the convenience."
3,4,5,Gummi Fans MUST Buy these!,"Once you get them it's hard to quit! Then again they are fat free.<br /><br />My order came quickly and very fresh vs the overpriced candy stores where they're in a bin and you don't know how long they've been sitting there, or spending almost $2 for 5 ounces. Great deal right now, and with 2 bags, you get free shipping! I got regular gummi bears and cola bottles, and I think my husband ate more of them than I did and he isn't a big gummi fan! He said they were just good, fresh, and had a great flavorful taste, not like any other gummis that are just colored shaped goo."
0,0,4,Kelloggs Rice Krispies-gluten-free,This is the first time I have seen gluten-free rice krispies. Being gluten-free is not an easy task and some of the foods are almost not palatable so to find something that both looks and tastes good really helps a person with Celiac disease. Loved them.
0,0,4,good snack,"I love the south beach s'mores but have not been able to find them so tried these.  They are OK, sort of taste like peanut butter toast but not bad and healthier.  Filling when in a big hurry."
0,0,4,very smooth,"Nice cup of coffee, enjoyed it much more than I thought I would. Worth a try, and at a good price."
2,2,4,Multi-Functional,"We use this product to sprinkle over the front lawn to prevent dogs from doing their business.  Quite successful for that purpose.  Oh, and it is tasty if you add it to your food.  LOL!!"
1,1,4,Stevia Chewing Gum,"I found the gum to be very good and knowing that it didn't have aspertame in it was great! The flavor could have lasted a bit longer than it did and I was hoping it would be a little mintier tasting. But considering that there is no other gum that is sugar free and doesn't have aspertame in it that I know of I would buy this gum. I also think that the price is too high, so I will wait till it goes down before I start chewing it regularly."
2,2,5,excellent superlight substitutes for palmiers,"Many of Bahlsen's cookies are too sweet and floury for my taste, but these light flaky cookies don't taste stale and are not too rich but are nice and do not taste like sugared cardboard.  I don't crave these but when you eat them, you realize that these are better than the average boxed cookies and unexpectedly delicate and fresh tasting given the supermarket price."
0,0,4,Yum!,"I ordered these for a ""candy stash"" at work that a few coworkers and I dip into during the day. These are a hit. I prefer suckers to keep me from snacking at my desk during downtime, and these are my new favorites. 3 suckers = 70 calories. Each sucker has 100% Vitamin C, so I can delude myself into thinking my candy is good for me (although, it beats the vending machine choices every time)!<br /><br />The flavors are friggin delicious. I only wish there were more flavors/vitamin pops to choose from. Wish I could take all my vitamins this way."
0,1,2,Small tree,"I really should have read the dimensions, it is really small and it looks like someone cut a branch off a bush. I hope it stays alive. I had one I bought from a road side vendor that was like this one and it died in a month. I had one from a florist that lived for years. I was hoping for better quality."
0,0,4,LOTTA chocolate here!,"I'm not a huge sweets fan, prefer chips and such normally, but every once in a while, like just about everyone, a sweet tooth bites me and I want something with some sugar in it.<br /><br />Having grown up in a family known for baking (grandmother used to make wedding cakes profesionally), cookies are nothing new.  And a good chocolate chip cookie can hit the spot sometimes, even for those of us who aren't THAT fond of chocolate.<br /><br />So the Chips Ahoy cookies here are a variation I haven't tried in their product line before.<br /><br />The cookie dough itself is about normal for them, not quite great but not bad, either.  A little squishier than I'd normally want, but these are supposed to be gooey after all, so that comes with the territory.<br /><br />And while the picture on the package shows something with just oodles of chocolate in the middle, while I think everyone knows it's a given that the picture is an exaggeration, I have to say it's not exaggerating by MUCH...  There's a LOT of chocolate in there compared to any other chocolate chip cookie.  For me, it was overwhelming, way too much chocolate.  My 7 year old said the same, took a bite, made a face, and threw the rest of it away.<br /><br />But these aren't being marketed to people who don't like chocolate, so our problem shouldn't be an issue with anyone that purchases these.<br /><br />Chocolate is pretty normal tasting mass produced cookie type of chocolate, with a pretty smooth consistency to it.  Again, nothing to rejoice about, but if you like a lot of chocolate in your chocolate chip cookiess, it will definitely float your boat.<br /><br />They're about the size of a silver dollar, give or take, so they're not very large, but given how sweet they are, I think anything larger would be overkill.<br /><br />If you like store bought prepackaged cookies, these should be just fine, if not a little better tasting than most of the other options."
0,0,5,Dogs Love,"All 3 of my dogs-pom, yorkie, rat terrier, love these. I just received my 2nd order. Wish these were on sub. and save."
1,1,5,The BEST!!!,"This has become my favorite Stash tea.  I liked the Earl Grey, but the Double Bergamot Earl Grey is twice as good!  As to whether or not it tastes like 'real' Earl Grey, who's to say?  They're all a little different.  But if you like Earl Grey, this is DEFINITELY worth a try."
0,0,5,Received One Packet for Review - Tastes Good!,"The only drawback to receiving only one packet is that it does not include the dietary information that I expected.  It tastes good and, at the same time, I would have liked information to determine if this would fit well with my health plan.  Without this information, I would be reluctant to order more."
1,1,4,Good chips!,"These are good chips! Maybe not as tasty as some other unhealthy chips, but I would definitely buy them again."
0,0,4,"Pretty good coffee, especially nice and cold","Ok, for me, this needs to be sweetened and mixed with milk (vanilla soymilk or dark chocolate almond milk are awesome), but it's actually not a bad thing having a serving of good (strong but not bitter or burnt-tasting) coffee in the refrigerator ready to grab. I mixed it with the amount and type of milk I wanted, sweetened it as I pleased, and yumminess happened, my way; I like that. There is a lot of coffee out there that tastes nasty to me, but this is the good stuff."
4,6,1,"Very Very Salty, only ate 1 or 2 sticks and threw the rest away",This jerky has been by far the saltiest I have ever had. I actually like salt but to a certain point and this went way beyond it. My favorite jerky was the World Kitchens brand brown sugar but it's no longer available. Unless you really like your food Extra Salty I would stay away. as far as tenderness I'll give it a 7 out of 10.
0,0,4,Great stuff,"I got this for a friend that likes japanese candies. I myself have tried it, and it was a nice treat. First off, this fascinating ramune soda candy is in a small plastic bottle that is reminiscent of a ramune soda drink bottle(minus the marble and glass bottle), and it is about half the size of one as well. The candy is in the shape of pellets and sort of tastes like ramune, but the taste could also be similar to Smarties or Wonka Fun Dip candy sticks in pellet form. Nonetheless a great candy."
1,1,5,Good stuff!!,"Two level measuring teaspoons makes at least 30 ounces of tea, good strong tea that is highly stimulating.  I don't even miss coffee now!  Using distilled water makes the best tea in my opinion.  I drink the first mug straight and the rest I put soy milk powder in.  GOOD STUFF.  Will continue to buy this tea."
2,2,5,Goodlife Recipe Indoor Wholesome Salmon & Garden Greens Delights,"From my 3 cat's point of view these are the best treats they have ever tasted (and they have tasted many types).  The cats keep wanting more and more.  I have to hide the packet.  If your cats like what my cats like, they will love these.  The extra cost is well worth it to see your cats enjoy these treats.  I should have known they would love them because their all time favorite regular dry cat food is The Goodlife Recipe Indoor (made with Real Chicken, Brown Rice & Garden Greens) food."
0,0,5,My Favorite :-),Great quality service and product every time !! Everyone should try Grove Square French Vanilla Cappuccino cups.  The option for the 3 pack 18 count best fits my lifestyle.
0,0,5,5 Hour Energy,"We recently recieved 2 samples of the 5-Hour Energy and my Husband and my Son inlaw used them the next morning. They had both just gotten off from working night shift, my son in law a 8-10hr shift and my hubby a 12hr shift. They had to work on the car so both took the 5-Hour energy shots and were up all day. Not only did it give them the energy to stay awake and alert enough to fix the car, they also fixed the mower, built on a clubhouse for the kids and cut up a fallen treee in the yard. So in my oppinion the 5-Hour Energy is well worth the cost, and I would buy and use them again. ""I received a free sample of 5-Hour ENERGY® from Smiley360."""
3,4,1,"Bitter, Weak and Thin","I have a Nespresso C100 and use the Ristretto capsules. Ordered these as I like the concept of 'ethical coffee.' Huge disappointment. I find the coffee is weak and not like espresso at all. Plus, the aftertaste has a bitter quality to it. The crema is thin with no richness. Overall, a poor substitute. If you like your Nespresso, you can try these but beware, you are not getting the same product."
0,0,5,Addictive,"The best cheese curl we've found, but we stopped looking once we found these!  Did not think we could consume a case - but, we've back for more."
0,0,5,Wellness Simple Ltd. Ingred. Salmon and Rice Dry Dog Food,"Happy with Dog Food, and our dogs like it too!  The food is made of healthy ingredients and is especially good for one dog of ours who has skin allergies, and there are many ingredients he can't tolerate.  I've found the 26 lb. bag to be the best price.<br /> <a href=""http://www.amazon.com/gp/product/B002SUVR5W"">Wellness Simple Solutions Dog Food, Rice and Salmon Formula, 10-Pound and 8-Ounce Bag</a>"
1,1,5,Love it!  Best Haribou candy out there,"When I was a kid, Cadbury (IIRC) made a very dense gummy like roll of candy.  This comes very very close.  The flavors are not too strong which is good and the texture is very firm/dense like very old gummy bears.  I love this chewy texture!!!  For a box for $10 shipped?  WIN!  (wait until it is Amazon Prime eligible)."
0,0,5,Love it!,I thoroughly enjoy this product.  It mixes well with hardly any residue in the bottom of your cup and has excellent flavor.  A wonderful alternative to coffee!
2,2,5,So Good!  Loaded with Omega 3!,"The first time I had tuna cooked in the can without added water or oil was a place in Eureka, Ca a few years back...I've never had it since until I found this brand.  This is ONLY tuna, nothing added.  When you open the can (with an easy pull-top), you use all of the tuna and the juices, it's really delicious.  I am a big tuna eater and this is excellent tuna at an affordable price.  Upon opening the can you will notice a whole piece of tuna, never flakes or chuncks, and you can break this tuna 'steak' apart depending on how big of chunks you want, or leave it whole on your plate.  No matter how you use it, it's really good eating.  It's moist and has a big flavor, an excellent choice for your tuna sandwiches or salads.  I stocked up on about 10 orders so my pantry will be full and I can eat this to my heart's content...and what a healthy heart it will be with the high levels of Omega 3!  Low mercury because they use smaller fish.  I hope the price and quality never change. $16.62 for 6 cans."
1,2,5,Yummy!,"The plain RiceSelect couscous is delicious, easy, and quick to prepare.  It is great as a side item or the base of a main course.  So far, I have not found a bad product from RiceSelect."
3,4,2,Not up to kind bar standards,I saw this kind bar on amazon and bought it to try. I had high expectations that were dashed the minute I tasted the first bite. The mixture of the mango and macadamia do not go well together. I was very disappointed.
0,0,3,So so,"Normally I prefer plain chips, even though I don't eat them often. The chili lime is pretty good, great with some guacamole. These chips are very crisp, with a strong potato flavor, but also have a slightly burnt taste."
1,1,5,free at last!,This product has helped me break free from the peanut butter habit!!!  It tastes so good!!!  Thank you PB2!  I put it on yogurt and add it to my oatmeal.  It keeps me totally satisfied for hours.  I just ordered my second package with chocolate and regular.  It's a great way to get protein.  Wonderful product!!!
1,1,5,Cleaned Fogged Glassware in Just 2 Washings,"Our water is medium hard (between 120 and 150 mg/l according to the data from our municipal supplier -- Bolton Point Water System near Ithaca NY -- data is available on the web). It doesn't take long for glassware to get cloudy gray film on it. We were seriously thinking about putting in a water softener to deal with this but decided to give this citric acid a try. Well, running those glasses through the dishwasher just once (with one tablespoon of citric acid and the rest Cascade Complete) took about 75% of the film off and after one more pass it was totally gone. Talk about sparklying glassware --- amazing, just about beyond belief."
5,9,1,NOT JAPANESE. It is from Thailand,"They should really put the origin of the product in the information. It is from Thailand. I was drinking the Jasmine tea from Ito En and noticed it was from Thailand so I switched to this one. Well, what a suprise. It too is from Thailand. No Thanks."
3,3,5,The baby loves this stuff.,My daughter loves this stuff. Convent to toss into the diaper bag and great for the earthquake kit. When I have this in stock (My wife goes through this stuff pretty quickly) we usually give this to our (now) 3 month old right before her nap or when she's supposed to go to sleep. It's a little thicker than the powder stuff so it fills her tummy pretty well. I have also noticed she doesn't spit up that much when we use this stuff.
2,2,5,I LOVE these snacks,"I LOVE these pretzel crisps.  Lots of flavor, low in fat.  Baked, not fried.  I get these for around $3.50 per 7.2 oz bag at my local grocery store, so I'm a little confused by the astronomical prices shown by the current people selling them on Amazon.  They are well worth it if you find them for less than $4 per bag.  YUM!"
1,1,5,Mantova Lemon Organic  Flavored  Extra Virgin  Oil,"I love this Lemon Olive Oil. I've been using Lemon Olive Oil for sometime in various things, and this  is a particularly nice and reasonably priced lemon olive oil. It's a great addition to any cook's larder."
0,0,3,Good for a preground coffee,"I would like have more of a kick, but it's a lot better than most Keurig and superior to our local Dunkin Donuts fresh brew. Dunkin's K-cup is not in the same ballpark."
0,0,4,I received my M&Ms just fine.,"I ordered the 4 large bags. I received them in a timely manner and appreciated that they were shipped in a minimal amount of packaging. The four bags were simply shrink wrapped together and put in the box with my other items. I have only opened one bag so far but the M&M's were in great condition. Great price, delicious product, excellent service.<br /><br />Edit (10/01/10)- The price for these is now $35 more than when I bought them the first time. I can buy these for less than $10 a bag at the store. So the price is now closer to ridiculous then great."
0,1,2,"I want to like this, but I can't","No MSG, no hormones, no antibiotics, makes for a great purchase in my book.  So why only two stars?  Unfortunately, after giving Golden Valley a chance with both this and their <a href=""http://www.amazon.com/gp/product/B000E4ARBE"">Sweet N' Spicy</a> flavor I couldn't make myself enjoy the taste.  The texture is strange, it reminds me of chewing cube steak.  You know it's beef but you also know it's a little too chewy to be steak.  It's possible people who like their steak rare may enjoy the chewy texture as it's not too tough as far as beef jerky goes.  Plus, something about the flavorings they use gives the meat a sour, almost rancid taste.  I'm guessing it's the apple cider vinegar as it reminds me of fruit or apple juice that's turning bad. They need to improve their flavors before I try them again."
0,0,5,oooooooooo yummy,"I tried this after having tried many chocolate/raspberry blends. Oh my! this is my favorite, perfect blend of the two flavors in a warm comforting cup. My husband who loves the GM wild blueberry says this is his new favorite! Thank goodness you get 48 cups in the order!! : )"
0,0,1,I'd give it 0 stars if I could !!!,"What a horrible Disappointment!!! I bought these shells and they all broke into pieces before they were even cooked (in fact they still had a hard gummy texture not even close to done and I do like my pasta al dente,so they really weren't done). A bad product and a waste of money. Do not buy these!!"
2,2,4,"Very tasty, chewy and satisfying, although a bit too high in fat for me","I got these when Amazon was running a very good promotion, so it worked out to something like .60 a bar.  These have a really nice, tangy taste (the cherries) and a really satisfying chewy texture. I like that it's pretty natural and simple ingredients (grounds nuts, cherry, dates etc.), but for my preference, it's a bit too high in fat.  I like my energy bars to have no more than 3 grams of fat (or 4 max), while these have 8 (but then again, those lower fat bars don't taste as good as these).  ;-)<br /><br />I would try another flavor of these if there was another good sale and if I could get any that were lower in fat."
11,11,5,Nutiva organic coconut oil,"Love this.  Great substitute for shortening.  Keeps baked goods moister, and is excellent for cooking eggs and vegetables."
0,0,5,a must for my kitchen,"I love Vegeta, it is a must for my cooking.  It's great in soups and all sorts of sauces.  You can even make your own veggie stock out of it.  I would highly recommend it."
6,6,5,Wonderful flavor fast shipping.,"I was very pleased with my order of the Lake Grassmer Sea Salt. The product is terrific, very tasty. But what really impressed me was the wonderful way it was packed by the seller and the very very fast shipping. I would recommend this product and seller to everyone. I will be ordering from them again."
1,1,5,love it !!!!!,"want to jazz up your meat or vegetables? then this is a must have! sweet yet tangy, a little spice yet just right!"
2,10,3,I love the product just not the shipping care.,I love Pamela's products. This product is awesome as so is all her products. I just ordered Pamela's baking mix and bread mix  the other day and it just showed up yesterday and all 6 bags in two separate boxes had two small puncture holes in all the bags in the same spot. The holes had to have been made at Pamela's packaging warehouse because they were packaged in Pamela's shipping boxes. I called amazon and reported it to them and they were very nice and refunded my money.I would have given this product a five star but for the packaging issue from Pamela's i gave it three stars.
0,5,1,Poor Substitution,"A Texas transplant to Maryland, it has been hard to find good chili mix at the grocery store.  For a brief and wonderful year, my local store carried my favorite, Wick Fowler's 2-Alarm Chili Kit.  Then they restocked with this stuff.  While it appears to be made by the same folks, it's AWFUL.  They've left out the onions, there's almost no cayenne pepper (they say to make it hot add the whole package, I would have needed about a half dozen of their little packages to even touch hot!), and the herbs and spices are all mixed together so there's not real sense of how much of anything you're putting in.  No problem if it's good, but since it's not...  It appears that they've upped the chili powder quotient and backed off on everythign else.  If you like chili, don't bother with this stuff!"
0,1,3,not good for chewers,"I got this for my 60lb boxer mix as a replacement for smaller one he had managed to break by dropping it. It was great for a couple days, but after that he seemed to get frustrated & in a mere 24 hours, he had chewed through the much thicker rope on the new one, which he had never thought of doing on the old one.  Another new toy, doomed to failure.  &lt;sigh>  oh well, at least I tried."
0,0,5,Ditto to everything Richardson said,"Best combination of price and taste, plus it's organic.  Matcha tea can be very expensive, but this stuff is high quality and a reasonable price.  Two thumbs up, very highly recommended!"
1,3,1,tree bark taste better so OLD.........,I've worked in a few Coffee houses and this is the worst crap I've come a crossed. It taste like tree bark ...their is no coffee oil left in this CRAP..............JUST buy Folgers before you buy this blue mountain crap coffee..I wish I could get my $$$$$ back don't EVEN BUY>>>>>>>>>>>>> -1 vote
0,0,3,Good product if eaten quickly.,This is a Good product if eaten quickly. the taste was excellent. I was a little surprised at the quickness and totality of the mold that set in.  It is good if you eat all of it in 4 -5 days.
1,2,4,"Good dessert for someone gluten sensitive, dairy sensitive and diabetic","My husband is gluten sensitive, dairy sensitive, and diabetic, so it is very difficult to find desserts for him.  Usually, if it's gluten free, it has waaaay too much sugar, for example.  I tried a box of these cookies for him.  He tried them and said that they are surprisingly good.<br /><br />They are not mereingues, even though they are shaped like those types of cookies.  They are regular cookie consistency.  There are just a few in a package, so they are rather expensive.  However, they are less expensive than buying all the materials yourself and having them fail.  (Can you tell I have made some bombs in my time as a specialty cook? LOL)"
3,3,5,Great lean snack - ostrich!,"These meat snacks are fabulous and incredibly healthy.  I first discovered them at my health club in New Hampshire, where they charge $2.50 for one stick, so buying them from Amazon made sense, cutting the cost by a buck.  Try all the flavors - they're all great, and very low in fat with lots of fiber.  Highly recommend."
0,0,5,Fabulous java FIX!!,"This particular brand and blend of Green Mountain coffee is one of the best I have ever tasted or enjoyed.  Its got a nice body, is NOT bitter, and goes down very smoothly.  Would recommend to any coffee drinkers for their morning fix to get moving."
1,1,5,The Best Bitter Lemon,"When you want to really taste the perfect balance of lemon and quinine, this is your beverage.  Also, it is highly carbonated which means that when poured over ice with gin or vodka, it has the perfect amount of bubbles.  Not so highly carbonated you can't drink it straight from the bottle.  Or, as I like to say, ""perfect.""<br /><br />I have had four different brands of bitter lemon and none of the others compare to Fever Tree.<br /><br />Also, I haven't gotten malaria."
0,0,5,Tasty and Healthy,I love that my son is learning to feed himself with these healthy snacks that he loves!
4,4,5,Excellent product.,"This product is steeped in water to make a tea or drink that is something like a fruit punch.  This 2-lb bag is economical and the flowers (actually a calyx, I think, if you want to be technical) are clean and fresh.  A relative of mine uses the drink for medicinal purposes and has had good results with it.  One caveat:  It stains badly if you spill it so it's best to keep it away from any heirloom tablecloths you may have."
0,0,5,These chips are addictive,"These are great chips, low in fat, high in potassium. When I had difficulty finding them in Publix, I cheched out Amazon.com. Happy that I did. Not only is it more convenient, but less expensive, also!"
0,0,4,Couldn't taste the A1,"These were good, but I really couldn't taste the A1 in them.  Tasted similar to the original steak nuggets to me"
0,0,5,Betty Crocker Oatmeal Chocolate Chip Cookie mix,Box arrived in great shape. The cookies are easy to make and they taste great!! They were fresh and scrumptious.
1,2,5,A real treat for a toy poodle or your canine bunch of cute.,"My picky little 5 1/2 lb toy poodle would 'KILL' to get to these treats!!  The chicken wrapped banana and the chicken wrapped sweet potato by Dogswell are pure heaven for her.  If I let her, that is all she would eat!!  I have Amazon just send me both treats on a regular basis.....it's so much easier that way."
0,0,5,Yummo!,This is a great tasting product for 100calories and you actually get quite a few chips in the bag. Salt and vinegar are my favorites. The plain taste like Munchos. Will definitely buy again!
0,0,2,review of fly trap,This fly trap is not worth the money.  It doesn't do the job at all.  The ones I bought else where were much better.  Don't buy them.  There are much better ones out there.
4,4,5,delicious cake,"my experience with "" Omaha"" it is very good, the product is excellent, good packing, fresh and delicious, I have sent to relatives in other states and were enchanted. I am very happy!"
0,0,5,Very pleased,Very pleased to finally find a real candy store. Very fast. We'll be back for more soon and thanks again.
33,35,2,Step in the wrong direction,"I've been drinking coconut water for years and I've tried them all ONE, Vita Coco, Naked, etc.. Zico was my favorite until this recent change where they added a new ingredient called ""natural flavor"". It use to be be pure coco water but the new ingredient change the taste for me. This was one of the highest reviewed coco waters on Amazon before this change...what a pity...<br />I'm dropping Zico from my auto-ship and going back to something that doesn't have artificial ""natural flavor"" added to what should be pure coco water."
0,0,5,Why I like Newmans,Excellent I needed a dog food without copper as an ingredient and found Newmansbon the Internet. It has proven to be a great choice and my dog had thrived
0,0,3,BETTER THAN I EXPECTED -- NICE AROMA,"Surprisingly mellow coffee with a lingering, embracing aroma that impressed my snobby visitors from England.  I recommend this for your snooty friends."
0,0,5,Spring Onion McDougall soup,"I love this one, too.. hard to find any ramens that don't have meat in them.. making these reviews is making me hungry and wanting to order some of these.. lol :o)  Onions are good for you."
0,0,5,"Sweet, Creamy Chai","I'm really fond of this chai. I like a lot of chais, but this one is unique with the blend of red and decaf black tea, sweetened with coconut. It forgives a long steep or a wide range of temperatures (though hotter temps bring out better flavor), and I find the blend of flavors quite nice, particularly for such an inexpensive brand of tea.<br /><br />As with most chais, this tea is not at all bitter."
0,0,5,taste just good,Those are very good for satisfying late night sugar cravings without the guilt. will order more when i finish this pack for sure
0,0,5,"Actually, my dogs love it!","Great, natural product for the dogs.  They think they are eating candy, but really are eating a wholesome snack food."
0,0,5,Exelent teas,"The product is well presented very well desgned and the teas are very good and I srongly recommend them, I am sure that you will love them even if you are not a tea lover"
1,1,3,a hope full wish,"<a href=""http://www.amazon.com/gp/product/B000EXMP74"">Knorr/Lipton Rice Sides, Herb & Butter, 5.4-Ounce Packages (Pack of 12)</a><br />  A long time ago you had a very very good product that was known as herb & butter rice ( NO SIDES-pasta), and it could be used alone or to be mixed with ground meat, bell peppers,& tomatoes to create unstuffed bell peppers.  Then some one decided to IMPROVE!!? the mix by adding pasta, and it is just not as good, but it is the only way I can get the rice that I like.  PLEASE PLEASE go back to the pastaless rice.  Thanks in advance"
12,14,3,Unbelievable!,"I was shocked to see this.  Maybe I've misunderstood what they are selling here, but I don't think so.  Locally I can buy a box like this that has 36 1.5 oz bags for $7.80.  I gave this 3 stars because the product is great, but the price is extremely high ($22.97 at posting)."
2,2,5,I love this tea!,"This is my go-to drink when I feel like drinking something refreshing on a hot summer day.  I am not a huge fan of strongly flavored tea drinks, but I really enjoy this one because of the mango component.  It achieves a good balance of sweetness and tea flavor; one does not overpower the other.  I was worried that this drink might taste too much like their ""Mucho Mango"" beverage (which is far too sweet for me), but was pleasantly surprised when its wasn't nearly as strong.  The price point is unbeatable and the tea is delicious!"
1,1,5,"Great results for allergies, company said ethoxyquin free","I have a beagle with bad food allergies, I started a different limited ingredient food and she still had loose stools so I decided to give taste of the wild pacific stream a try. She has no more loose stools and its only been 2 weeks now. This is the first food I tried that helped with that. I can't say how good otherwise because its only been 2 weeks now, but so far so good and I called the company and they do guarantee that it is ethoxyquin free. It is also one of the top foods on dog food analysis. Since she is a beagle and only 25 pounds, I am pleased with the protein amount for a dog her size. The last food she was on was lower protein and some are to high for her size. I made sure this food was ethoxyquin free before I purchased it. She loves it. This is the first time in a year that her stools are formed, and not very loose. I am having her allergy tested in 2 weeks so I will know if its ok for her to stay on this food but so far eliminating grains for her has been great. I won't know the full effect until a few months as far as the itchiness and biting her feet, but so far this is helping her a lot. I will give an update once she is on it longer. I have tried quite a few other limited ingredient foods and allergy formulas and she would vomit and have a ton of itching, but this one she tolerated right away and I weaned her slowly. She is very sensitive to foods."
0,0,5,AMAZING TREATS,"Amazing --both  my Senior dog and the new pup loves these. Quality ingredients---will break in half easily for a really small puppy.<br /><br />I've re-ordered more than once--always very fresh ""use by "" dates.<br /><br />QUALITY--"
1,1,5,Good Stuff,"Bold tasting coffee, not for someone that dosent like a strong tasting coffee. I have bought this coffee a few time and I really like it."
1,1,5,Review by A Brown was not even for this product,"The ""Turkey"" snack sticks are very good.<br />I do not normally like meat sticks.<br />I was surprised to find that I liked these.<br />Listed Ingredients does not list MSG and states the casing is gluten free."
7,8,1,You'll Be Embarressed If You Send This,"<a href=""http://www.amazon.com/gp/product/B00013C2L6"">Rocky Mountain Chocolate Tower</a><br /><br />This package arrived today and I am debating telling the sender how bad it was.  Mostly packaging.  The chocolates tasted stale.  A few nuts..."
0,0,5,Greenies,Thank you so much for sending us this product that our dogs love so much! It was neatly packaged and enjoyed by the dogs the minute we opened the package. The deal is amazing!
0,0,5,GRRRRRR-ATE!,"My rottweiler-mix loves these treats!  Each morsel is about the size of your pinky fingernail, so these treats are perfect for training.  It's a struggle to keep my big girl svelte.  I don't have to break the treats in half, and I can give her these treats  without worrying that she'll turn into a sausage.  Because she likes them so much, I never feel like I'm depriving her.  The bag is re-sealable and keeps the treats soft.  If the treats happen to dry out, just put a moist paper towel in the bag, and they will re-absorb the moisture."
0,0,5,Warmth on chilly days,Just right to heat up for Chili Dogs or to make queso dip. Love the fact I do not have to pick out the beans as I did with other chili. Find it even mixes well into a pot of Mac n Cheese.<br />Reorder when running low.
0,0,5,Best dog treats,"I have a 2 1/2 year old black lab and these are her favorite treats! They are the best for training, my dog will do just about anything to get one of these treats. Even my 3 month old black lab puppy goes running to his kennel when I tell him to go to bed because he knows that a liver treat is coming his way. Since they are sliced small a large container of these will last a while. The only complaint I have is that my dog loves these so much that if she knows shes getting one she starts to drool, and she's not a drooler... So I gotta toss one to her quick!!"
0,0,4,"Great for recipes, but not quite for actual peanut butter","Im not sold on using this as a peanut butter substitute (like for PBJ sandwich or dipping crackers or celery), but it is rock solid for recipes.  I like that I can get full blown peanut butter flavor in recipes (cookies, smoothies, cakes, pie, pancakes, ice cream, etc.) without the 200 calories of actual peanut butter.  The PB2 website has hundreds of recipes to use this with.  I check their site all the time for fun uses of PB2.<br /><br />As for making actual peanut butter (e.g. mixing the powder with water), I did not like it and wont use it for that."
0,0,5,Always a Hit!,"I've used this item for stunning drink presentations but have routinely been entertaining ""self"" at home.  The syrup's amazing and the flower is edible.  The flower stuns everyone at first but when they taste, they thoroughly enjoy.  I have purchased this a number of times.  Amazon use to carry the larger, 11 oz. jar but I did not see it on this last purchase.  This product's become a staple in my house. I also use the syrup to mix with other items (fruit dips, desserts, ice cream, etc.)"
2,2,5,Good sleep,"I have had problems going to sleep for most of my adult life, so any time I see something that isn't a sleeping pill to try out, I try it.  I was surprised that this stuff actually worked - I've used it a number of times, and it has been consistently effective at helping me fall asleep.  Very happy with this product."
